timestamp,game_minute,market_id,market_type,market_status,runner_id,runner_name,back_odds,lay_odds
2026-02-20T17:30:16.872797200Z,0,1.254251326,CORRECT_SCORE,OPEN,1,0 - 0,15.00,16.50
2026-02-20T17:30:16.872797200Z,0,1.254251326,CORRECT_SCORE,OPEN,4,0 - 1,13.00,14.50
2026-02-20T17:30:16.872797200Z,0,1.254251326,CORRECT_SCORE,OPEN,9,0 - 2,21.00,24.00
2026-02-20T17:30:16.872797200Z,0,1.254251326,CORRECT_SCORE,OPEN,16,0 - 3,48.00,60.00
2026-02-20T17:30:16.872797200Z,0,1.254251326,CORRECT_SCORE,OPEN,2,1 - 0,10.50,11.50
2026-02-20T17:30:16.872797200Z,0,1.254251326,CORRECT_SCORE,OPEN,3,1 - 1,7.60,8.40
2026-02-20T17:30:16.872797200Z,0,1.254251326,CORRECT_SCORE,OPEN,8,1 - 2,12.50,14.00
2026-02-20T17:30:16.872797200Z,0,1.254251326,CORRECT_SCORE,OPEN,15,1 - 3,30.00,44.00
2026-02-20T17:30:16.872797200Z,0,1.254251326,CORRECT_SCORE,OPEN,5,2 - 0,14.00,15.50
2026-02-20T17:30:16.872797200Z,0,1.254251326,CORRECT_SCORE,OPEN,6,2 - 1,10.00,11.50
2026-02-20T17:30:16.872797200Z,0,1.254251326,CORRECT_SCORE,OPEN,7,2 - 2,14.50,16.50
2026-02-20T17:30:16.872797200Z,0,1.254251326,CORRECT_SCORE,OPEN,14,2 - 3,38.00,55.00
2026-02-20T17:30:16.872797200Z,0,1.254251326,CORRECT_SCORE,OPEN,10,3 - 0,28.00,32.00
2026-02-20T17:30:16.872797200Z,0,1.254251326,CORRECT_SCORE,OPEN,11,3 - 1,21.00,23.00
2026-02-20T17:30:16.872797200Z,0,1.254251326,CORRECT_SCORE,OPEN,12,3 - 2,30.00,34.00
2026-02-20T17:30:16.872797200Z,0,1.254251326,CORRECT_SCORE,OPEN,13,3 - 3,40.00,80.00
2026-02-20T17:30:16.872797200Z,0,1.254251326,CORRECT_SCORE,OPEN,9063254,Any Other Home Win,15.00,17.00
2026-02-20T17:30:16.872797200Z,0,1.254251326,CORRECT_SCORE,OPEN,9063255,Any Other Away Win,26.00,30.00
2026-02-20T17:30:16.872797200Z,0,1.254251326,CORRECT_SCORE,OPEN,9063256,Any Other Draw,18.00,1000.00
2026-02-20T17:30:49.855398800Z,0,1.254251326,CORRECT_SCORE,OPEN,1,0 - 0,15.00,16.50
2026-02-20T17:30:49.855398800Z,0,1.254251326,CORRECT_SCORE,OPEN,4,0 - 1,13.00,14.50
2026-02-20T17:30:49.855398800Z,0,1.254251326,CORRECT_SCORE,OPEN,9,0 - 2,21.00,24.00
2026-02-20T17:30:49.855398800Z,0,1.254251326,CORRECT_SCORE,OPEN,16,0 - 3,48.00,60.00
2026-02-20T17:30:49.855398800Z,0,1.254251326,CORRECT_SCORE,OPEN,2,1 - 0,10.50,11.50
2026-02-20T17:30:49.855398800Z,0,1.254251326,CORRECT_SCORE,OPEN,3,1 - 1,7.60,8.40
2026-02-20T17:30:49.855398800Z,0,1.254251326,CORRECT_SCORE,OPEN,8,1 - 2,12.50,14.00
2026-02-20T17:30:49.855398800Z,0,1.254251326,CORRECT_SCORE,OPEN,15,1 - 3,30.00,44.00
2026-02-20T17:30:49.855398800Z,0,1.254251326,CORRECT_SCORE,OPEN,5,2 - 0,14.00,15.50
2026-02-20T17:30:49.855398800Z,0,1.254251326,CORRECT_SCORE,OPEN,6,2 - 1,10.00,11.50
2026-02-20T17:30:49.855398800Z,0,1.254251326,CORRECT_SCORE,OPEN,7,2 - 2,14.50,16.50
2026-02-20T17:30:49.855398800Z,0,1.254251326,CORRECT_SCORE,OPEN,14,2 - 3,38.00,55.00
2026-02-20T17:30:49.855398800Z,0,1.254251326,CORRECT_SCORE,OPEN,10,3 - 0,28.00,32.00
2026-02-20T17:30:49.855398800Z,0,1.254251326,CORRECT_SCORE,OPEN,11,3 - 1,21.00,23.00
2026-02-20T17:30:49.855398800Z,0,1.254251326,CORRECT_SCORE,OPEN,12,3 - 2,30.00,34.00
2026-02-20T17:30:49.855398800Z,0,1.254251326,CORRECT_SCORE,OPEN,13,3 - 3,40.00,80.00
2026-02-20T17:30:49.855398800Z,0,1.254251326,CORRECT_SCORE,OPEN,9063254,Any Other Home Win,15.00,17.00
2026-02-20T17:30:49.855398800Z,0,1.254251326,CORRECT_SCORE,OPEN,9063255,Any Other Away Win,26.00,30.00
2026-02-20T17:30:49.855398800Z,0,1.254251326,CORRECT_SCORE,OPEN,9063256,Any Other Draw,18.00,1000.00
2026-02-20T17:31:22.673622900Z,1,1.254251326,CORRECT_SCORE,OPEN,1,0 - 0,13.00,19.50
2026-02-20T17:31:22.673622900Z,1,1.254251326,CORRECT_SCORE,OPEN,4,0 - 1,13.00,14.50
2026-02-20T17:31:22.673622900Z,1,1.254251326,CORRECT_SCORE,OPEN,9,0 - 2,19.50,24.00
2026-02-20T17:31:22.673622900Z,1,1.254251326,CORRECT_SCORE,OPEN,16,0 - 3,32.00,90.00
2026-02-20T17:31:22.673622900Z,1,1.254251326,CORRECT_SCORE,OPEN,2,1 - 0,9.60,11.50
2026-02-20T17:31:22.673622900Z,1,1.254251326,CORRECT_SCORE,OPEN,3,1 - 1,7.60,8.40
2026-02-20T17:31:22.673622900Z,1,1.254251326,CORRECT_SCORE,OPEN,8,1 - 2,12.50,14.00
2026-02-20T17:31:22.673622900Z,1,1.254251326,CORRECT_SCORE,OPEN,15,1 - 3,24.00,44.00
2026-02-20T17:31:22.673622900Z,1,1.254251326,CORRECT_SCORE,OPEN,5,2 - 0,12.50,16.50
2026-02-20T17:31:22.673622900Z,1,1.254251326,CORRECT_SCORE,OPEN,6,2 - 1,10.00,11.50
2026-02-20T17:31:22.673622900Z,1,1.254251326,CORRECT_SCORE,OPEN,7,2 - 2,14.50,18.50
2026-02-20T17:31:22.673622900Z,1,1.254251326,CORRECT_SCORE,OPEN,14,2 - 3,34.00,60.00
2026-02-20T17:31:22.673622900Z,1,1.254251326,CORRECT_SCORE,OPEN,10,3 - 0,23.00,34.00
2026-02-20T17:31:22.673622900Z,1,1.254251326,CORRECT_SCORE,OPEN,11,3 - 1,20.00,32.00
2026-02-20T17:31:22.673622900Z,1,1.254251326,CORRECT_SCORE,OPEN,12,3 - 2,27.00,40.00
2026-02-20T17:31:22.673622900Z,1,1.254251326,CORRECT_SCORE,OPEN,13,3 - 3,40.00,200.00
2026-02-20T17:31:22.673622900Z,1,1.254251326,CORRECT_SCORE,OPEN,9063254,Any Other Home Win,13.00,17.50
2026-02-20T17:31:22.673622900Z,1,1.254251326,CORRECT_SCORE,OPEN,9063255,Any Other Away Win,23.00,34.00
2026-02-20T17:31:22.673622900Z,1,1.254251326,CORRECT_SCORE,OPEN,9063256,Any Other Draw,15.00,1000.00
