timestamp,game_minute,market_id,market_type,market_status,runner_id,runner_name,back_odds,lay_odds
2026-02-20T18:00:07.529093800Z,0,1.254052257,CORRECT_SCORE,OPEN,1,0 - 0,30.00,36.00
2026-02-20T18:00:07.529093800Z,0,1.254052257,CORRECT_SCORE,OPEN,4,0 - 1,38.00,44.00
2026-02-20T18:00:07.529093800Z,0,1.254052257,CORRECT_SCORE,OPEN,9,0 - 2,90.00,1000.00
2026-02-20T18:00:07.529093800Z,0,1.254052257,CORRECT_SCORE,OPEN,16,0 - 3,60.00,290.00
2026-02-20T18:00:07.529093800Z,0,1.254052257,CORRECT_SCORE,OPEN,2,1 - 0,11.50,12.00
2026-02-20T18:00:07.529093800Z,0,1.254052257,CORRECT_SCORE,OPEN,3,1 - 1,12.50,14.00
2026-02-20T18:00:07.529093800Z,0,1.254052257,CORRECT_SCORE,OPEN,8,1 - 2,30.00,34.00
2026-02-20T18:00:07.529093800Z,0,1.254052257,CORRECT_SCORE,OPEN,15,1 - 3,100.00,120.00
2026-02-20T18:00:07.529093800Z,0,1.254052257,CORRECT_SCORE,OPEN,5,2 - 0,9.40,9.60
2026-02-20T18:00:07.529093800Z,0,1.254052257,CORRECT_SCORE,OPEN,6,2 - 1,9.60,10.00
2026-02-20T18:00:07.529093800Z,0,1.254052257,CORRECT_SCORE,OPEN,7,2 - 2,21.00,22.00
2026-02-20T18:00:07.529093800Z,0,1.254052257,CORRECT_SCORE,OPEN,14,2 - 3,75.00,85.00
2026-02-20T18:00:07.529093800Z,0,1.254052257,CORRECT_SCORE,OPEN,10,3 - 0,11.00,12.00
2026-02-20T18:00:07.529093800Z,0,1.254052257,CORRECT_SCORE,OPEN,11,3 - 1,12.00,13.00
2026-02-20T18:00:07.529093800Z,0,1.254052257,CORRECT_SCORE,OPEN,12,3 - 2,25.00,26.00
2026-02-20T18:00:07.529093800Z,0,1.254052257,CORRECT_SCORE,OPEN,13,3 - 3,75.00,90.00
2026-02-20T18:00:07.529093800Z,0,1.254052257,CORRECT_SCORE,OPEN,9063254,Any Other Home Win,4.10,4.30
2026-02-20T18:00:07.529093800Z,0,1.254052257,CORRECT_SCORE,OPEN,9063255,Any Other Away Win,85.00,110.00
2026-02-20T18:00:07.529093800Z,0,1.254052257,CORRECT_SCORE,OPEN,9063256,Any Other Draw,42.00,
2026-02-20T18:00:40.490678700Z,0,1.254052257,CORRECT_SCORE,OPEN,1,0 - 0,30.00,36.00
2026-02-20T18:00:40.490678700Z,0,1.254052257,CORRECT_SCORE,OPEN,4,0 - 1,38.00,44.00
2026-02-20T18:00:40.490678700Z,0,1.254052257,CORRECT_SCORE,OPEN,9,0 - 2,90.00,1000.00
2026-02-20T18:00:40.490678700Z,0,1.254052257,CORRECT_SCORE,OPEN,16,0 - 3,80.00,290.00
2026-02-20T18:00:40.490678700Z,0,1.254052257,CORRECT_SCORE,OPEN,2,1 - 0,11.50,12.00
2026-02-20T18:00:40.490678700Z,0,1.254052257,CORRECT_SCORE,OPEN,3,1 - 1,12.50,14.00
2026-02-20T18:00:40.490678700Z,0,1.254052257,CORRECT_SCORE,OPEN,8,1 - 2,30.00,34.00
2026-02-20T18:00:40.490678700Z,0,1.254052257,CORRECT_SCORE,OPEN,15,1 - 3,100.00,120.00
2026-02-20T18:00:40.490678700Z,0,1.254052257,CORRECT_SCORE,OPEN,5,2 - 0,9.40,9.60
2026-02-20T18:00:40.490678700Z,0,1.254052257,CORRECT_SCORE,OPEN,6,2 - 1,9.60,10.00
2026-02-20T18:00:40.490678700Z,0,1.254052257,CORRECT_SCORE,OPEN,7,2 - 2,21.00,22.00
2026-02-20T18:00:40.490678700Z,0,1.254052257,CORRECT_SCORE,OPEN,14,2 - 3,75.00,85.00
2026-02-20T18:00:40.490678700Z,0,1.254052257,CORRECT_SCORE,OPEN,10,3 - 0,11.00,12.00
2026-02-20T18:00:40.490678700Z,0,1.254052257,CORRECT_SCORE,OPEN,11,3 - 1,12.00,13.00
2026-02-20T18:00:40.490678700Z,0,1.254052257,CORRECT_SCORE,OPEN,12,3 - 2,25.00,26.00
2026-02-20T18:00:40.490678700Z,0,1.254052257,CORRECT_SCORE,OPEN,13,3 - 3,75.00,90.00
2026-02-20T18:00:40.490678700Z,0,1.254052257,CORRECT_SCORE,OPEN,9063254,Any Other Home Win,4.10,4.30
