timestamp,game_minute,market_id,market_type,market_status,runner_id,runner_name,back_odds,lay_odds
2026-02-25T17:56:23.690374400Z,26,1.254462797,HALF_TIME_SCORE,OPEN,1,0 - 0,1.81,1.98
2026-02-25T17:56:23.690374400Z,26,1.254462797,HALF_TIME_SCORE,OPEN,3,1 - 1,15.50,22.00
2026-02-25T17:56:23.690374400Z,26,1.254462797,HALF_TIME_SCORE,OPEN,7,2 - 2,7.40,
2026-02-25T17:56:23.690374400Z,26,1.254462797,HALF_TIME_SCORE,OPEN,2,1 - 0,6.00,7.40
2026-02-25T17:56:23.690374400Z,26,1.254462797,HALF_TIME_SCORE,OPEN,5,2 - 0,8.00,1000.00
2026-02-25T17:56:23.690374400Z,26,1.254462797,HALF_TIME_SCORE,OPEN,6,2 - 1,7.20,940.00
2026-02-25T17:56:23.690374400Z,26,1.254462797,HALF_TIME_SCORE,OPEN,4,0 - 1,4.80,5.90
2026-02-25T17:56:23.690374400Z,26,1.254462797,HALF_TIME_SCORE,OPEN,9,0 - 2,25.00,1000.00
2026-02-25T17:56:23.690374400Z,26,1.254462797,HALF_TIME_SCORE,OPEN,8,1 - 2,7.00,970.00
2026-02-25T17:56:23.690374400Z,26,1.254462797,HALF_TIME_SCORE,OPEN,4316861,Any unquoted,7.20,970.00
2026-02-25T17:56:55.092754Z,26,1.254462797,HALF_TIME_SCORE,OPEN,1,0 - 0,1.81,1.98
2026-02-25T17:56:55.092754Z,26,1.254462797,HALF_TIME_SCORE,OPEN,3,1 - 1,15.50,22.00
2026-02-25T17:56:55.092754Z,26,1.254462797,HALF_TIME_SCORE,OPEN,7,2 - 2,7.40,
2026-02-25T17:56:55.092754Z,26,1.254462797,HALF_TIME_SCORE,OPEN,2,1 - 0,6.00,7.40
2026-02-25T17:56:55.092754Z,26,1.254462797,HALF_TIME_SCORE,OPEN,5,2 - 0,8.00,1000.00
2026-02-25T17:56:55.092754Z,26,1.254462797,HALF_TIME_SCORE,OPEN,6,2 - 1,7.20,940.00
2026-02-25T17:56:55.092754Z,26,1.254462797,HALF_TIME_SCORE,OPEN,4,0 - 1,4.80,5.90
2026-02-25T17:56:55.092754Z,26,1.254462797,HALF_TIME_SCORE,OPEN,9,0 - 2,25.00,1000.00
2026-02-25T17:56:55.092754Z,26,1.254462797,HALF_TIME_SCORE,OPEN,8,1 - 2,7.00,970.00
2026-02-25T17:56:55.092754Z,26,1.254462797,HALF_TIME_SCORE,OPEN,4316861,Any unquoted,7.20,970.00
2026-02-25T17:57:26.240289600Z,27,1.254462797,HALF_TIME_SCORE,OPEN,1,0 - 0,1.75,1.85
2026-02-25T17:57:26.240289600Z,27,1.254462797,HALF_TIME_SCORE,OPEN,3,1 - 1,17.50,980.00
2026-02-25T17:57:26.240289600Z,27,1.254462797,HALF_TIME_SCORE,OPEN,7,2 - 2,7.00,
2026-02-25T17:57:26.240289600Z,27,1.254462797,HALF_TIME_SCORE,OPEN,2,1 - 0,5.90,7.80
2026-02-25T17:57:26.240289600Z,27,1.254462797,HALF_TIME_SCORE,OPEN,5,2 - 0,11.00,1000.00
2026-02-25T17:57:26.240289600Z,27,1.254462797,HALF_TIME_SCORE,OPEN,6,2 - 1,6.80,940.00
2026-02-25T17:57:26.240289600Z,27,1.254462797,HALF_TIME_SCORE,OPEN,4,0 - 1,5.00,6.40
2026-02-25T17:57:26.240289600Z,27,1.254462797,HALF_TIME_SCORE,OPEN,9,0 - 2,6.80,1000.00
2026-02-25T17:57:26.240289600Z,27,1.254462797,HALF_TIME_SCORE,OPEN,8,1 - 2,6.80,970.00
2026-02-25T17:57:26.240289600Z,27,1.254462797,HALF_TIME_SCORE,OPEN,4316861,Any unquoted,6.80,970.00
2026-02-25T17:57:57.772147700Z,27,1.254462797,HALF_TIME_SCORE,OPEN,1,0 - 0,1.81,1.91
2026-02-25T17:57:57.772147700Z,27,1.254462797,HALF_TIME_SCORE,OPEN,3,1 - 1,17.00,23.00
2026-02-25T17:57:57.772147700Z,27,1.254462797,HALF_TIME_SCORE,OPEN,7,2 - 2,7.80,
2026-02-25T17:57:57.772147700Z,27,1.254462797,HALF_TIME_SCORE,OPEN,2,1 - 0,5.80,7.40
2026-02-25T17:57:57.772147700Z,27,1.254462797,HALF_TIME_SCORE,OPEN,5,2 - 0,9.20,1000.00
2026-02-25T17:57:57.772147700Z,27,1.254462797,HALF_TIME_SCORE,OPEN,6,2 - 1,7.80,940.00
2026-02-25T17:57:57.772147700Z,27,1.254462797,HALF_TIME_SCORE,OPEN,4,0 - 1,4.90,6.20
2026-02-25T17:57:57.772147700Z,27,1.254462797,HALF_TIME_SCORE,OPEN,9,0 - 2,27.00,1000.00
2026-02-25T17:57:57.772147700Z,27,1.254462797,HALF_TIME_SCORE,OPEN,8,1 - 2,7.40,970.00
2026-02-25T17:57:57.772147700Z,27,1.254462797,HALF_TIME_SCORE,OPEN,4316861,Any unquoted,7.80,970.00
2026-02-25T17:58:29.167195Z,28,1.254462797,HALF_TIME_SCORE,OPEN,1,0 - 0,1.65,1.81
2026-02-25T17:58:29.167195Z,28,1.254462797,HALF_TIME_SCORE,OPEN,3,1 - 1,18.50,980.00
2026-02-25T17:58:29.167195Z,28,1.254462797,HALF_TIME_SCORE,OPEN,7,2 - 2,6.20,
2026-02-25T17:58:29.167195Z,28,1.254462797,HALF_TIME_SCORE,OPEN,2,1 - 0,6.00,7.80
2026-02-25T17:58:29.167195Z,28,1.254462797,HALF_TIME_SCORE,OPEN,5,2 - 0,15.00,1000.00
