timestamp,game_minute,market_id,market_type,market_status,runner_id,runner_name,back_odds,lay_odds
2026-02-25T12:45:06.850703700Z,0,1.254474420,CORRECT_SCORE,OPEN,1,0 - 0,21.00,38.00
2026-02-25T12:45:06.850703700Z,0,1.254474420,CORRECT_SCORE,OPEN,4,0 - 1,14.50,20.00
2026-02-25T12:45:06.850703700Z,0,1.254474420,CORRECT_SCORE,OPEN,9,0 - 2,14.00,18.00
2026-02-25T12:45:06.850703700Z,0,1.254474420,CORRECT_SCORE,OPEN,16,0 - 3,19.00,1000.00
2026-02-25T12:45:06.850703700Z,0,1.254474420,CORRECT_SCORE,OPEN,2,1 - 0,26.00,36.00
2026-02-25T12:45:06.850703700Z,0,1.254474420,CORRECT_SCORE,OPEN,3,1 - 1,11.00,13.00
2026-02-25T12:45:06.850703700Z,0,1.254474420,CORRECT_SCORE,OPEN,8,1 - 2,9.80,11.50
2026-02-25T12:45:06.850703700Z,0,1.254474420,CORRECT_SCORE,OPEN,15,1 - 3,13.50,16.00
2026-02-25T12:45:06.850703700Z,0,1.254474420,CORRECT_SCORE,OPEN,5,2 - 0,9.80,1000.00
2026-02-25T12:45:06.850703700Z,0,1.254474420,CORRECT_SCORE,OPEN,6,2 - 1,16.50,19.50
2026-02-25T12:45:06.850703700Z,0,1.254474420,CORRECT_SCORE,OPEN,7,2 - 2,12.00,15.50
2026-02-25T12:45:06.850703700Z,0,1.254474420,CORRECT_SCORE,OPEN,14,2 - 3,18.50,21.00
2026-02-25T12:45:06.850703700Z,0,1.254474420,CORRECT_SCORE,OPEN,10,3 - 0,9.80,110.00
2026-02-25T12:45:06.850703700Z,0,1.254474420,CORRECT_SCORE,OPEN,11,3 - 1,32.00,44.00
2026-02-25T12:45:06.850703700Z,0,1.254474420,CORRECT_SCORE,OPEN,12,3 - 2,16.00,40.00
2026-02-25T12:45:06.850703700Z,0,1.254474420,CORRECT_SCORE,OPEN,13,3 - 3,10.50,55.00
2026-02-25T12:45:06.850703700Z,0,1.254474420,CORRECT_SCORE,OPEN,9063254,Any Other Home Win,19.00,28.00
2026-02-25T12:45:06.850703700Z,0,1.254474420,CORRECT_SCORE,OPEN,9063255,Any Other Away Win,4.80,6.20
2026-02-25T12:45:06.850703700Z,0,1.254474420,CORRECT_SCORE,OPEN,9063256,Any Other Draw,200.00,
