timestamp,game_minute,market_id,market_type,market_status,runner_id,runner_name,back_odds,lay_odds
2026-02-25T18:00:03.559084400Z,0,1.254463370,HALF_TIME_SCORE,OPEN,1,0 - 0,2.74,3.20
2026-02-25T18:00:03.559084400Z,0,1.254463370,HALF_TIME_SCORE,OPEN,3,1 - 1,7.60,10.50
2026-02-25T18:00:03.559084400Z,0,1.254463370,HALF_TIME_SCORE,OPEN,7,2 - 2,9.60,1000.00
2026-02-25T18:00:03.559084400Z,0,1.254463370,HALF_TIME_SCORE,OPEN,2,1 - 0,5.10,6.40
2026-02-25T18:00:03.559084400Z,0,1.254463370,HALF_TIME_SCORE,OPEN,5,2 - 0,7.40,970.00
2026-02-25T18:00:03.559084400Z,0,1.254463370,HALF_TIME_SCORE,OPEN,6,2 - 1,8.20,1000.00
2026-02-25T18:00:03.559084400Z,0,1.254463370,HALF_TIME_SCORE,OPEN,4,0 - 1,4.20,5.70
2026-02-25T18:00:03.559084400Z,0,1.254463370,HALF_TIME_SCORE,OPEN,9,0 - 2,7.00,23.00
2026-02-25T18:00:03.559084400Z,0,1.254463370,HALF_TIME_SCORE,OPEN,8,1 - 2,8.00,1000.00
2026-02-25T18:00:03.559084400Z,0,1.254463370,HALF_TIME_SCORE,OPEN,4316861,Any unquoted,8.00,960.00
2026-02-25T18:00:35.684820900Z,0,1.254463370,HALF_TIME_SCORE,OPEN,1,0 - 0,2.54,3.20
2026-02-25T18:00:35.684820900Z,0,1.254463370,HALF_TIME_SCORE,OPEN,3,1 - 1,1.77,12.00
2026-02-25T18:00:35.684820900Z,0,1.254463370,HALF_TIME_SCORE,OPEN,7,2 - 2,2.04,950.00
2026-02-25T18:00:35.684820900Z,0,1.254463370,HALF_TIME_SCORE,OPEN,2,1 - 0,1.61,690.00
2026-02-25T18:00:35.684820900Z,0,1.254463370,HALF_TIME_SCORE,OPEN,5,2 - 0,1.95,32.00
2026-02-25T18:00:35.684820900Z,0,1.254463370,HALF_TIME_SCORE,OPEN,6,2 - 1,1.99,50.00
2026-02-25T18:00:35.684820900Z,0,1.254463370,HALF_TIME_SCORE,OPEN,4,0 - 1,1.57,830.00
2026-02-25T18:00:35.684820900Z,0,1.254463370,HALF_TIME_SCORE,OPEN,9,0 - 2,1.92,26.00
2026-02-25T18:00:35.684820900Z,0,1.254463370,HALF_TIME_SCORE,OPEN,8,1 - 2,1.99,46.00
2026-02-25T18:00:35.684820900Z,0,1.254463370,HALF_TIME_SCORE,OPEN,4316861,Any unquoted,1.98,42.00
2026-02-25T18:01:07.852174Z,1,1.254463370,HALF_TIME_SCORE,OPEN,1,0 - 0,2.74,3.20
2026-02-25T18:01:07.852174Z,1,1.254463370,HALF_TIME_SCORE,OPEN,3,1 - 1,7.60,10.50
2026-02-25T18:01:07.852174Z,1,1.254463370,HALF_TIME_SCORE,OPEN,7,2 - 2,9.60,1000.00
2026-02-25T18:01:07.852174Z,1,1.254463370,HALF_TIME_SCORE,OPEN,2,1 - 0,5.10,6.40
2026-02-25T18:01:07.852174Z,1,1.254463370,HALF_TIME_SCORE,OPEN,5,2 - 0,7.40,970.00
2026-02-25T18:01:07.852174Z,1,1.254463370,HALF_TIME_SCORE,OPEN,6,2 - 1,8.20,1000.00
2026-02-25T18:01:07.852174Z,1,1.254463370,HALF_TIME_SCORE,OPEN,4,0 - 1,4.20,5.70
2026-02-25T18:01:07.852174Z,1,1.254463370,HALF_TIME_SCORE,OPEN,9,0 - 2,7.00,23.00
2026-02-25T18:01:07.852174Z,1,1.254463370,HALF_TIME_SCORE,OPEN,8,1 - 2,8.00,1000.00
2026-02-25T18:01:07.852174Z,1,1.254463370,HALF_TIME_SCORE,OPEN,4316861,Any unquoted,8.00,960.00
2026-02-25T18:01:39.875739100Z,1,1.254463370,HALF_TIME_SCORE,OPEN,1,0 - 0,2.54,3.20
2026-02-25T18:01:39.875739100Z,1,1.254463370,HALF_TIME_SCORE,OPEN,3,1 - 1,1.77,12.00
2026-02-25T18:01:39.875739100Z,1,1.254463370,HALF_TIME_SCORE,OPEN,7,2 - 2,2.04,950.00
2026-02-25T18:01:39.875739100Z,1,1.254463370,HALF_TIME_SCORE,OPEN,2,1 - 0,1.61,580.00
2026-02-25T18:01:39.875739100Z,1,1.254463370,HALF_TIME_SCORE,OPEN,5,2 - 0,1.95,32.00
2026-02-25T18:01:39.875739100Z,1,1.254463370,HALF_TIME_SCORE,OPEN,6,2 - 1,1.99,50.00
2026-02-25T18:01:39.875739100Z,1,1.254463370,HALF_TIME_SCORE,OPEN,4,0 - 1,1.57,680.00
2026-02-25T18:01:39.875739100Z,1,1.254463370,HALF_TIME_SCORE,OPEN,9,0 - 2,1.92,26.00
2026-02-25T18:01:39.875739100Z,1,1.254463370,HALF_TIME_SCORE,OPEN,8,1 - 2,1.99,46.00
2026-02-25T18:01:39.875739100Z,1,1.254463370,HALF_TIME_SCORE,OPEN,4316861,Any unquoted,1.98,42.00
2026-02-25T18:02:11.753342500Z,2,1.254463370,HALF_TIME_SCORE,OPEN,1,0 - 0,2.54,3.20
2026-02-25T18:02:11.753342500Z,2,1.254463370,HALF_TIME_SCORE,OPEN,3,1 - 1,1.77,12.00
2026-02-25T18:02:11.753342500Z,2,1.254463370,HALF_TIME_SCORE,OPEN,7,2 - 2,2.04,950.00
2026-02-25T18:02:11.753342500Z,2,1.254463370,HALF_TIME_SCORE,OPEN,2,1 - 0,1.61,690.00
2026-02-25T18:02:11.753342500Z,2,1.254463370,HALF_TIME_SCORE,OPEN,5,2 - 0,1.95,32.00
2026-02-25T18:02:11.753342500Z,2,1.254463370,HALF_TIME_SCORE,OPEN,6,2 - 1,1.99,50.00
2026-02-25T18:02:11.753342500Z,2,1.254463370,HALF_TIME_SCORE,OPEN,4,0 - 1,1.57,830.00
2026-02-25T18:02:11.753342500Z,2,1.254463370,HALF_TIME_SCORE,OPEN,9,0 - 2,1.92,26.00
2026-02-25T18:02:11.753342500Z,2,1.254463370,HALF_TIME_SCORE,OPEN,8,1 - 2,1.99,46.00
2026-02-25T18:02:11.753342500Z,2,1.254463370,HALF_TIME_SCORE,OPEN,4316861,Any unquoted,1.98,42.00
2026-02-25T18:02:43.476887400Z,2,1.254463370,HALF_TIME_SCORE,OPEN,1,0 - 0,3.20,
2026-02-25T18:02:43.476887400Z,2,1.254463370,HALF_TIME_SCORE,OPEN,3,1 - 1,3.50,6.60
2026-02-25T18:02:43.476887400Z,2,1.254463370,HALF_TIME_SCORE,OPEN,7,2 - 2,3.00,44.00
2026-02-25T18:02:43.476887400Z,2,1.254463370,HALF_TIME_SCORE,OPEN,2,1 - 0,3.20,
2026-02-25T18:02:43.476887400Z,2,1.254463370,HALF_TIME_SCORE,OPEN,5,2 - 0,3.20,
2026-02-25T18:02:43.476887400Z,2,1.254463370,HALF_TIME_SCORE,OPEN,6,2 - 1,2.88,26.00
2026-02-25T18:02:43.476887400Z,2,1.254463370,HALF_TIME_SCORE,OPEN,4,0 - 1,2.80,4.80
2026-02-25T18:02:43.476887400Z,2,1.254463370,HALF_TIME_SCORE,OPEN,9,0 - 2,2.46,10.50
2026-02-25T18:02:43.476887400Z,2,1.254463370,HALF_TIME_SCORE,OPEN,8,1 - 2,2.54,12.00
2026-02-25T18:02:43.476887400Z,2,1.254463370,HALF_TIME_SCORE,OPEN,4316861,Any unquoted,3.70,11.00
2026-02-25T18:03:15.182232Z,3,1.254463370,HALF_TIME_SCORE,OPEN,1,0 - 0,,
2026-02-25T18:03:15.182232Z,3,1.254463370,HALF_TIME_SCORE,OPEN,3,1 - 1,,960.00
2026-02-25T18:03:15.182232Z,3,1.254463370,HALF_TIME_SCORE,OPEN,7,2 - 2,,950.00
2026-02-25T18:03:15.182232Z,3,1.254463370,HALF_TIME_SCORE,OPEN,2,1 - 0,,
2026-02-25T18:03:15.182232Z,3,1.254463370,HALF_TIME_SCORE,OPEN,5,2 - 0,,
2026-02-25T18:03:15.182232Z,3,1.254463370,HALF_TIME_SCORE,OPEN,6,2 - 1,,840.00
2026-02-25T18:03:15.182232Z,3,1.254463370,HALF_TIME_SCORE,OPEN,4,0 - 1,1.01,
2026-02-25T18:03:15.182232Z,3,1.254463370,HALF_TIME_SCORE,OPEN,9,0 - 2,,870.00
2026-02-25T18:03:15.182232Z,3,1.254463370,HALF_TIME_SCORE,OPEN,8,1 - 2,,
2026-02-25T18:03:15.182232Z,3,1.254463370,HALF_TIME_SCORE,OPEN,4316861,Any unquoted,,970.00
2026-02-25T18:03:46.980247700Z,3,1.254463370,HALF_TIME_SCORE,OPEN,1,0 - 0,2.06,
2026-02-25T18:03:46.980247700Z,3,1.254463370,HALF_TIME_SCORE,OPEN,3,1 - 1,1.69,9.40
2026-02-25T18:03:46.980247700Z,3,1.254463370,HALF_TIME_SCORE,OPEN,7,2 - 2,1.97,44.00
2026-02-25T18:03:46.980247700Z,3,1.254463370,HALF_TIME_SCORE,OPEN,2,1 - 0,2.06,
2026-02-25T18:03:46.980247700Z,3,1.254463370,HALF_TIME_SCORE,OPEN,5,2 - 0,2.06,
2026-02-25T18:03:46.980247700Z,3,1.254463370,HALF_TIME_SCORE,OPEN,6,2 - 1,1.96,38.00
2026-02-25T18:03:46.980247700Z,3,1.254463370,HALF_TIME_SCORE,OPEN,4,0 - 1,2.58,280.00
2026-02-25T18:03:46.980247700Z,3,1.254463370,HALF_TIME_SCORE,OPEN,9,0 - 2,2.06,950.00
2026-02-25T18:03:46.980247700Z,3,1.254463370,HALF_TIME_SCORE,OPEN,8,1 - 2,1.76,12.00
2026-02-25T18:03:46.980247700Z,3,1.254463370,HALF_TIME_SCORE,OPEN,4316861,Any unquoted,3.70,11.00
2026-02-25T18:04:20.326520200Z,4,1.254463370,HALF_TIME_SCORE,OPEN,1,0 - 0,8.60,
2026-02-25T18:04:20.326520200Z,4,1.254463370,HALF_TIME_SCORE,OPEN,3,1 - 1,4.70,5.60
2026-02-25T18:04:20.326520200Z,4,1.254463370,HALF_TIME_SCORE,OPEN,7,2 - 2,7.20,44.00
2026-02-25T18:04:20.326520200Z,4,1.254463370,HALF_TIME_SCORE,OPEN,2,1 - 0,8.40,
2026-02-25T18:04:20.326520200Z,4,1.254463370,HALF_TIME_SCORE,OPEN,5,2 - 0,8.60,
2026-02-25T18:04:20.326520200Z,4,1.254463370,HALF_TIME_SCORE,OPEN,6,2 - 1,10.50,26.00
2026-02-25T18:04:20.326520200Z,4,1.254463370,HALF_TIME_SCORE,OPEN,4,0 - 1,2.74,3.20
2026-02-25T18:04:20.326520200Z,4,1.254463370,HALF_TIME_SCORE,OPEN,9,0 - 2,5.20,6.40
2026-02-25T18:04:20.326520200Z,4,1.254463370,HALF_TIME_SCORE,OPEN,8,1 - 2,7.00,12.00
2026-02-25T18:04:20.326520200Z,4,1.254463370,HALF_TIME_SCORE,OPEN,4316861,Any unquoted,4.90,11.00
2026-02-25T18:04:52.371516600Z,4,1.254463370,HALF_TIME_SCORE,OPEN,1,0 - 0,4.00,
2026-02-25T18:04:52.371516600Z,4,1.254463370,HALF_TIME_SCORE,OPEN,3,1 - 1,3.50,6.40
2026-02-25T18:04:52.371516600Z,4,1.254463370,HALF_TIME_SCORE,OPEN,7,2 - 2,3.10,44.00
2026-02-25T18:04:52.371516600Z,4,1.254463370,HALF_TIME_SCORE,OPEN,2,1 - 0,3.30,
2026-02-25T18:04:52.371516600Z,4,1.254463370,HALF_TIME_SCORE,OPEN,5,2 - 0,3.30,
2026-02-25T18:04:52.371516600Z,4,1.254463370,HALF_TIME_SCORE,OPEN,6,2 - 1,9.00,26.00
2026-02-25T18:04:52.371516600Z,4,1.254463370,HALF_TIME_SCORE,OPEN,4,0 - 1,2.80,4.70
2026-02-25T18:04:52.371516600Z,4,1.254463370,HALF_TIME_SCORE,OPEN,9,0 - 2,4.60,10.50
2026-02-25T18:04:52.371516600Z,4,1.254463370,HALF_TIME_SCORE,OPEN,8,1 - 2,7.00,12.00
2026-02-25T18:04:52.371516600Z,4,1.254463370,HALF_TIME_SCORE,OPEN,4316861,Any unquoted,3.70,11.00
2026-02-25T18:05:24.277641Z,5,1.254463370,HALF_TIME_SCORE,OPEN,1,0 - 0,6.40,
2026-02-25T18:05:24.277641Z,5,1.254463370,HALF_TIME_SCORE,OPEN,3,1 - 1,3.95,6.40
2026-02-25T18:05:24.277641Z,5,1.254463370,HALF_TIME_SCORE,OPEN,7,2 - 2,5.60,44.00
2026-02-25T18:05:24.277641Z,5,1.254463370,HALF_TIME_SCORE,OPEN,2,1 - 0,6.20,
2026-02-25T18:05:24.277641Z,5,1.254463370,HALF_TIME_SCORE,OPEN,5,2 - 0,6.40,
2026-02-25T18:05:24.277641Z,5,1.254463370,HALF_TIME_SCORE,OPEN,6,2 - 1,10.50,26.00
2026-02-25T18:05:24.277641Z,5,1.254463370,HALF_TIME_SCORE,OPEN,4,0 - 1,2.80,3.20
2026-02-25T18:05:24.277641Z,5,1.254463370,HALF_TIME_SCORE,OPEN,9,0 - 2,5.00,7.20
2026-02-25T18:05:24.277641Z,5,1.254463370,HALF_TIME_SCORE,OPEN,8,1 - 2,8.60,12.00
2026-02-25T18:05:24.277641Z,5,1.254463370,HALF_TIME_SCORE,OPEN,4316861,Any unquoted,7.20,11.00
2026-02-25T18:05:56.430143200Z,5,1.254463370,HALF_TIME_SCORE,OPEN,1,0 - 0,1.31,
2026-02-25T18:05:56.430143200Z,5,1.254463370,HALF_TIME_SCORE,OPEN,3,1 - 1,1.30,960.00
2026-02-25T18:05:56.430143200Z,5,1.254463370,HALF_TIME_SCORE,OPEN,7,2 - 2,3.60,970.00
2026-02-25T18:05:56.430143200Z,5,1.254463370,HALF_TIME_SCORE,OPEN,2,1 - 0,1.30,
2026-02-25T18:05:56.430143200Z,5,1.254463370,HALF_TIME_SCORE,OPEN,5,2 - 0,1.31,
2026-02-25T18:05:56.430143200Z,5,1.254463370,HALF_TIME_SCORE,OPEN,6,2 - 1,17.00,840.00
2026-02-25T18:05:56.430143200Z,5,1.254463370,HALF_TIME_SCORE,OPEN,4,0 - 1,2.06,830.00
2026-02-25T18:05:56.430143200Z,5,1.254463370,HALF_TIME_SCORE,OPEN,9,0 - 2,4.30,950.00
2026-02-25T18:05:56.430143200Z,5,1.254463370,HALF_TIME_SCORE,OPEN,8,1 - 2,9.40,950.00
2026-02-25T18:05:56.430143200Z,5,1.254463370,HALF_TIME_SCORE,OPEN,4316861,Any unquoted,8.20,970.00
2026-02-25T18:06:28.310714Z,6,1.254463370,HALF_TIME_SCORE,OPEN,1,0 - 0,5.40,
2026-02-25T18:06:28.310714Z,6,1.254463370,HALF_TIME_SCORE,OPEN,3,1 - 1,4.70,5.70
2026-02-25T18:06:28.310714Z,6,1.254463370,HALF_TIME_SCORE,OPEN,7,2 - 2,5.50,970.00
2026-02-25T18:06:28.310714Z,6,1.254463370,HALF_TIME_SCORE,OPEN,2,1 - 0,5.30,
2026-02-25T18:06:28.310714Z,6,1.254463370,HALF_TIME_SCORE,OPEN,5,2 - 0,5.40,
