timestamp,game_minute,market_id,market_type,market_status,runner_id,runner_name,back_odds,lay_odds
2026-02-25T13:30:15.347165Z,0,1.254331315,HALF_TIME_SCORE,OPEN,1,0 - 0,2.96,3.20
2026-02-25T13:30:15.347165Z,0,1.254331315,HALF_TIME_SCORE,OPEN,3,1 - 1,6.60,10.50
2026-02-25T13:30:15.347165Z,0,1.254331315,HALF_TIME_SCORE,OPEN,7,2 - 2,110.00,1000.00
2026-02-25T13:30:15.347165Z,0,1.254331315,HALF_TIME_SCORE,OPEN,2,1 - 0,4.20,4.60
2026-02-25T13:30:15.347165Z,0,1.254331315,HALF_TIME_SCORE,OPEN,5,2 - 0,7.80,14.50
2026-02-25T13:30:15.347165Z,0,1.254331315,HALF_TIME_SCORE,OPEN,6,2 - 1,11.00,1000.00
2026-02-25T13:30:15.347165Z,0,1.254331315,HALF_TIME_SCORE,OPEN,4,0 - 1,6.80,7.60
2026-02-25T13:30:15.347165Z,0,1.254331315,HALF_TIME_SCORE,OPEN,9,0 - 2,12.00,1000.00
2026-02-25T13:30:15.347165Z,0,1.254331315,HALF_TIME_SCORE,OPEN,8,1 - 2,12.50,1000.00
2026-02-25T13:30:15.347165Z,0,1.254331315,HALF_TIME_SCORE,OPEN,4316861,Any unquoted,10.50,30.00
2026-02-25T13:30:45.971001900Z,0,1.254331315,HALF_TIME_SCORE,OPEN,1,0 - 0,2.96,3.20
2026-02-25T13:30:45.971001900Z,0,1.254331315,HALF_TIME_SCORE,OPEN,3,1 - 1,6.60,10.50
2026-02-25T13:30:45.971001900Z,0,1.254331315,HALF_TIME_SCORE,OPEN,7,2 - 2,110.00,1000.00
2026-02-25T13:30:45.971001900Z,0,1.254331315,HALF_TIME_SCORE,OPEN,2,1 - 0,4.20,4.60
2026-02-25T13:30:45.971001900Z,0,1.254331315,HALF_TIME_SCORE,OPEN,5,2 - 0,7.80,14.50
2026-02-25T13:30:45.971001900Z,0,1.254331315,HALF_TIME_SCORE,OPEN,6,2 - 1,11.00,1000.00
2026-02-25T13:30:45.971001900Z,0,1.254331315,HALF_TIME_SCORE,OPEN,4,0 - 1,6.80,7.60
2026-02-25T13:30:45.971001900Z,0,1.254331315,HALF_TIME_SCORE,OPEN,9,0 - 2,12.00,1000.00
2026-02-25T13:30:45.971001900Z,0,1.254331315,HALF_TIME_SCORE,OPEN,8,1 - 2,12.50,1000.00
2026-02-25T13:30:45.971001900Z,0,1.254331315,HALF_TIME_SCORE,OPEN,4316861,Any unquoted,10.50,30.00
2026-02-25T13:31:16.776042900Z,1,1.254331315,HALF_TIME_SCORE,OPEN,1,0 - 0,2.96,3.20
2026-02-25T13:31:16.776042900Z,1,1.254331315,HALF_TIME_SCORE,OPEN,3,1 - 1,6.60,10.50
2026-02-25T13:31:16.776042900Z,1,1.254331315,HALF_TIME_SCORE,OPEN,7,2 - 2,110.00,1000.00
2026-02-25T13:31:16.776042900Z,1,1.254331315,HALF_TIME_SCORE,OPEN,2,1 - 0,4.20,4.60
2026-02-25T13:31:16.776042900Z,1,1.254331315,HALF_TIME_SCORE,OPEN,5,2 - 0,7.80,14.50
2026-02-25T13:31:16.776042900Z,1,1.254331315,HALF_TIME_SCORE,OPEN,6,2 - 1,11.00,1000.00
2026-02-25T13:31:16.776042900Z,1,1.254331315,HALF_TIME_SCORE,OPEN,4,0 - 1,6.80,7.60
2026-02-25T13:31:16.776042900Z,1,1.254331315,HALF_TIME_SCORE,OPEN,9,0 - 2,12.00,1000.00
2026-02-25T13:31:16.776042900Z,1,1.254331315,HALF_TIME_SCORE,OPEN,8,1 - 2,12.50,1000.00
2026-02-25T13:31:16.776042900Z,1,1.254331315,HALF_TIME_SCORE,OPEN,4316861,Any unquoted,10.50,30.00
2026-02-25T13:31:47.458783600Z,1,1.254331315,HALF_TIME_SCORE,OPEN,1,0 - 0,2.90,3.10
2026-02-25T13:31:47.458783600Z,1,1.254331315,HALF_TIME_SCORE,OPEN,3,1 - 1,9.00,10.50
2026-02-25T13:31:47.458783600Z,1,1.254331315,HALF_TIME_SCORE,OPEN,7,2 - 2,110.00,950.00
2026-02-25T13:31:47.458783600Z,1,1.254331315,HALF_TIME_SCORE,OPEN,2,1 - 0,4.10,4.60
2026-02-25T13:31:47.458783600Z,1,1.254331315,HALF_TIME_SCORE,OPEN,5,2 - 0,13.50,15.00
2026-02-25T13:31:47.458783600Z,1,1.254331315,HALF_TIME_SCORE,OPEN,6,2 - 1,28.00,38.00
2026-02-25T13:31:47.458783600Z,1,1.254331315,HALF_TIME_SCORE,OPEN,4,0 - 1,6.80,7.60
2026-02-25T13:31:47.458783600Z,1,1.254331315,HALF_TIME_SCORE,OPEN,9,0 - 2,32.00,46.00
2026-02-25T13:31:47.458783600Z,1,1.254331315,HALF_TIME_SCORE,OPEN,8,1 - 2,46.00,65.00
2026-02-25T13:31:47.458783600Z,1,1.254331315,HALF_TIME_SCORE,OPEN,4316861,Any unquoted,27.00,36.00
2026-02-25T13:32:18.080549600Z,2,1.254331315,HALF_TIME_SCORE,OPEN,1,0 - 0,2.82,3.00
2026-02-25T13:32:18.080549600Z,2,1.254331315,HALF_TIME_SCORE,OPEN,3,1 - 1,8.60,10.50
2026-02-25T13:32:18.080549600Z,2,1.254331315,HALF_TIME_SCORE,OPEN,7,2 - 2,110.00,970.00
2026-02-25T13:32:18.080549600Z,2,1.254331315,HALF_TIME_SCORE,OPEN,2,1 - 0,4.10,4.80
2026-02-25T13:32:18.080549600Z,2,1.254331315,HALF_TIME_SCORE,OPEN,5,2 - 0,13.50,16.00
2026-02-25T13:32:18.080549600Z,2,1.254331315,HALF_TIME_SCORE,OPEN,6,2 - 1,29.00,38.00
2026-02-25T13:32:18.080549600Z,2,1.254331315,HALF_TIME_SCORE,OPEN,4,0 - 1,6.40,7.60
2026-02-25T13:32:18.080549600Z,2,1.254331315,HALF_TIME_SCORE,OPEN,9,0 - 2,32.00,46.00
2026-02-25T13:32:18.080549600Z,2,1.254331315,HALF_TIME_SCORE,OPEN,8,1 - 2,11.50,65.00
2026-02-25T13:32:18.080549600Z,2,1.254331315,HALF_TIME_SCORE,OPEN,4316861,Any unquoted,28.00,36.00
