timestamp,game_minute,market_id,market_type,market_status,runner_id,runner_name,back_odds,lay_odds
2026-02-25T15:00:01.277556700Z,0,1.254470107,HALF_TIME_SCORE,OPEN,1,0 - 0,2.82,3.30
2026-02-25T15:00:01.277556700Z,0,1.254470107,HALF_TIME_SCORE,OPEN,3,1 - 1,7.00,9.60
2026-02-25T15:00:01.277556700Z,0,1.254470107,HALF_TIME_SCORE,OPEN,7,2 - 2,14.50,120.00
2026-02-25T15:00:01.277556700Z,0,1.254470107,HALF_TIME_SCORE,OPEN,2,1 - 0,4.50,5.90
2026-02-25T15:00:01.277556700Z,0,1.254470107,HALF_TIME_SCORE,OPEN,5,2 - 0,9.60,23.00
2026-02-25T15:00:01.277556700Z,0,1.254470107,HALF_TIME_SCORE,OPEN,6,2 - 1,11.50,36.00
2026-02-25T15:00:01.277556700Z,0,1.254470107,HALF_TIME_SCORE,OPEN,4,0 - 1,4.40,5.70
2026-02-25T15:00:01.277556700Z,0,1.254470107,HALF_TIME_SCORE,OPEN,9,0 - 2,9.40,22.00
2026-02-25T15:00:01.277556700Z,0,1.254470107,HALF_TIME_SCORE,OPEN,8,1 - 2,11.00,34.00
2026-02-25T15:00:01.277556700Z,0,1.254470107,HALF_TIME_SCORE,OPEN,4316861,Any unquoted,10.50,29.00
2026-02-25T15:00:32.524974700Z,0,1.254470107,HALF_TIME_SCORE,OPEN,1,0 - 0,2.82,3.30
2026-02-25T15:00:32.524974700Z,0,1.254470107,HALF_TIME_SCORE,OPEN,3,1 - 1,7.00,9.60
2026-02-25T15:00:32.524974700Z,0,1.254470107,HALF_TIME_SCORE,OPEN,7,2 - 2,14.50,120.00
2026-02-25T15:00:32.524974700Z,0,1.254470107,HALF_TIME_SCORE,OPEN,2,1 - 0,4.50,5.90
2026-02-25T15:00:32.524974700Z,0,1.254470107,HALF_TIME_SCORE,OPEN,5,2 - 0,9.60,23.00
2026-02-25T15:00:32.524974700Z,0,1.254470107,HALF_TIME_SCORE,OPEN,6,2 - 1,11.50,36.00
2026-02-25T15:00:32.524974700Z,0,1.254470107,HALF_TIME_SCORE,OPEN,4,0 - 1,4.40,5.70
2026-02-25T15:00:32.524974700Z,0,1.254470107,HALF_TIME_SCORE,OPEN,9,0 - 2,9.40,22.00
2026-02-25T15:00:32.524974700Z,0,1.254470107,HALF_TIME_SCORE,OPEN,8,1 - 2,11.00,34.00
2026-02-25T15:00:32.524974700Z,0,1.254470107,HALF_TIME_SCORE,OPEN,4316861,Any unquoted,10.50,29.00
2026-02-25T15:01:03.736890300Z,1,1.254470107,HALF_TIME_SCORE,OPEN,1,0 - 0,2.82,3.30
2026-02-25T15:01:03.736890300Z,1,1.254470107,HALF_TIME_SCORE,OPEN,3,1 - 1,7.00,9.60
