timestamp,game_minute,market_id,market_type,market_status,runner_id,runner_name,back_odds,lay_odds
2026-02-25T14:02:27.540530200Z,2,1.254439631,CORRECT_SCORE,OPEN,1,0 - 0,9.00,11.50
2026-02-25T14:02:27.540530200Z,2,1.254439631,CORRECT_SCORE,OPEN,4,0 - 1,6.20,7.80
2026-02-25T14:02:27.540530200Z,2,1.254439631,CORRECT_SCORE,OPEN,9,0 - 2,2.18,12.50
2026-02-25T14:02:27.540530200Z,2,1.254439631,CORRECT_SCORE,OPEN,16,0 - 3,2.66,
2026-02-25T14:02:27.540530200Z,2,1.254439631,CORRECT_SCORE,OPEN,2,1 - 0,2.20,12.50
2026-02-25T14:02:27.540530200Z,2,1.254439631,CORRECT_SCORE,OPEN,3,1 - 1,6.60,8.80
2026-02-25T14:02:27.540530200Z,2,1.254439631,CORRECT_SCORE,OPEN,8,1 - 2,9.00,13.50
2026-02-25T14:02:27.540530200Z,2,1.254439631,CORRECT_SCORE,OPEN,15,1 - 3,21.00,
2026-02-25T14:02:27.540530200Z,2,1.254439631,CORRECT_SCORE,OPEN,5,2 - 0,2.66,
2026-02-25T14:02:27.540530200Z,2,1.254439631,CORRECT_SCORE,OPEN,6,2 - 1,2.36,21.00
2026-02-25T14:02:27.540530200Z,2,1.254439631,CORRECT_SCORE,OPEN,7,2 - 2,22.00,990.00
2026-02-25T14:02:27.540530200Z,2,1.254439631,CORRECT_SCORE,OPEN,14,2 - 3,2.66,
2026-02-25T14:02:27.540530200Z,2,1.254439631,CORRECT_SCORE,OPEN,10,3 - 0,3.20,
2026-02-25T14:02:27.540530200Z,2,1.254439631,CORRECT_SCORE,OPEN,11,3 - 1,3.20,
2026-02-25T14:02:27.540530200Z,2,1.254439631,CORRECT_SCORE,OPEN,12,3 - 2,3.20,
2026-02-25T14:02:27.540530200Z,2,1.254439631,CORRECT_SCORE,OPEN,13,3 - 3,2.88,
2026-02-25T14:02:27.540530200Z,2,1.254439631,CORRECT_SCORE,OPEN,9063254,Any Other Home Win,3.95,
2026-02-25T14:02:27.540530200Z,2,1.254439631,CORRECT_SCORE,OPEN,9063255,Any Other Away Win,2.66,
2026-02-25T14:02:27.540530200Z,2,1.254439631,CORRECT_SCORE,OPEN,9063256,Any Other Draw,2.66,
