timestamp,game_minute,market_id,market_type,market_status,runner_id,runner_name,back_odds,lay_odds
2026-02-25T14:02:27.540530200Z,2,1.254439666,HALF_TIME_SCORE,OPEN,1,0 - 0,2.62,3.05
2026-02-25T14:02:27.540530200Z,2,1.254439666,HALF_TIME_SCORE,OPEN,3,1 - 1,10.00,11.50
2026-02-25T14:02:27.540530200Z,2,1.254439666,HALF_TIME_SCORE,OPEN,7,2 - 2,8.00,950.00
2026-02-25T14:02:27.540530200Z,2,1.254439666,HALF_TIME_SCORE,OPEN,2,1 - 0,6.40,7.40
2026-02-25T14:02:27.540530200Z,2,1.254439666,HALF_TIME_SCORE,OPEN,5,2 - 0,26.00,
2026-02-25T14:02:27.540530200Z,2,1.254439666,HALF_TIME_SCORE,OPEN,6,2 - 1,50.00,75.00
2026-02-25T14:02:27.540530200Z,2,1.254439666,HALF_TIME_SCORE,OPEN,4,0 - 1,3.90,4.70
2026-02-25T14:02:27.540530200Z,2,1.254439666,HALF_TIME_SCORE,OPEN,9,0 - 2,13.00,16.00
2026-02-25T14:02:27.540530200Z,2,1.254439666,HALF_TIME_SCORE,OPEN,8,1 - 2,34.00,46.00
2026-02-25T14:02:27.540530200Z,2,1.254439666,HALF_TIME_SCORE,OPEN,4316861,Any unquoted,30.00,44.00
2026-02-25T14:02:58.214881300Z,2,1.254439666,HALF_TIME_SCORE,OPEN,1,0 - 0,2.64,4.00
2026-02-25T14:02:58.214881300Z,2,1.254439666,HALF_TIME_SCORE,OPEN,3,1 - 1,6.60,1000.00
2026-02-25T14:02:58.214881300Z,2,1.254439666,HALF_TIME_SCORE,OPEN,7,2 - 2,140.00,1000.00
2026-02-25T14:02:58.214881300Z,2,1.254439666,HALF_TIME_SCORE,OPEN,2,1 - 0,1.41,1000.00
2026-02-25T14:02:58.214881300Z,2,1.254439666,HALF_TIME_SCORE,OPEN,5,2 - 0,1.36,1000.00
2026-02-25T14:02:58.214881300Z,2,1.254439666,HALF_TIME_SCORE,OPEN,6,2 - 1,1.41,1000.00
2026-02-25T14:02:58.214881300Z,2,1.254439666,HALF_TIME_SCORE,OPEN,4,0 - 1,3.70,1000.00
2026-02-25T14:02:58.214881300Z,2,1.254439666,HALF_TIME_SCORE,OPEN,9,0 - 2,9.20,1000.00
2026-02-25T14:02:58.214881300Z,2,1.254439666,HALF_TIME_SCORE,OPEN,8,1 - 2,1.41,1000.00
2026-02-25T14:02:58.214881300Z,2,1.254439666,HALF_TIME_SCORE,OPEN,4316861,Any unquoted,1.41,1000.00
2026-02-25T14:03:29.057152400Z,3,1.254439666,HALF_TIME_SCORE,OPEN,1,0 - 0,2.60,3.05
2026-02-25T14:03:29.057152400Z,3,1.254439666,HALF_TIME_SCORE,OPEN,3,1 - 1,9.80,11.50
2026-02-25T14:03:29.057152400Z,3,1.254439666,HALF_TIME_SCORE,OPEN,7,2 - 2,9.80,950.00
2026-02-25T14:03:29.057152400Z,3,1.254439666,HALF_TIME_SCORE,OPEN,2,1 - 0,6.40,7.40
2026-02-25T14:03:29.057152400Z,3,1.254439666,HALF_TIME_SCORE,OPEN,5,2 - 0,26.00,48.00
2026-02-25T14:03:29.057152400Z,3,1.254439666,HALF_TIME_SCORE,OPEN,6,2 - 1,9.00,75.00
2026-02-25T14:03:29.057152400Z,3,1.254439666,HALF_TIME_SCORE,OPEN,4,0 - 1,3.85,4.70
2026-02-25T14:03:29.057152400Z,3,1.254439666,HALF_TIME_SCORE,OPEN,9,0 - 2,12.00,16.00
2026-02-25T14:03:29.057152400Z,3,1.254439666,HALF_TIME_SCORE,OPEN,8,1 - 2,8.60,46.00
2026-02-25T14:03:29.057152400Z,3,1.254439666,HALF_TIME_SCORE,OPEN,4316861,Any unquoted,8.20,44.00
2026-02-25T14:03:59.855104900Z,3,1.254439666,HALF_TIME_SCORE,OPEN,1,0 - 0,2.60,2.94
2026-02-25T14:03:59.855104900Z,3,1.254439666,HALF_TIME_SCORE,OPEN,3,1 - 1,10.00,13.00
2026-02-25T14:03:59.855104900Z,3,1.254439666,HALF_TIME_SCORE,OPEN,7,2 - 2,9.40,950.00
2026-02-25T14:03:59.855104900Z,3,1.254439666,HALF_TIME_SCORE,OPEN,2,1 - 0,6.60,7.60
2026-02-25T14:03:59.855104900Z,3,1.254439666,HALF_TIME_SCORE,OPEN,5,2 - 0,38.00,55.00
2026-02-25T14:03:59.855104900Z,3,1.254439666,HALF_TIME_SCORE,OPEN,6,2 - 1,10.00,840.00
2026-02-25T14:03:59.855104900Z,3,1.254439666,HALF_TIME_SCORE,OPEN,4,0 - 1,3.85,4.50
2026-02-25T14:03:59.855104900Z,3,1.254439666,HALF_TIME_SCORE,OPEN,9,0 - 2,13.00,16.00
2026-02-25T14:03:59.855104900Z,3,1.254439666,HALF_TIME_SCORE,OPEN,8,1 - 2,34.00,46.00
2026-02-25T14:03:59.855104900Z,3,1.254439666,HALF_TIME_SCORE,OPEN,4316861,Any unquoted,30.00,44.00
2026-02-25T14:04:30.709062600Z,4,1.254439666,HALF_TIME_SCORE,OPEN,1,0 - 0,2.56,2.86
2026-02-25T14:04:30.709062600Z,4,1.254439666,HALF_TIME_SCORE,OPEN,3,1 - 1,10.50,13.00
